materials,AngM1-N-M2,dM1-M2,MagM1,RM1,NM1,mM1,PM1,"Hf,oxM1",NoutM1,XM1,EAM1,EiM1,MagM2,RM2,NM2,mM2,PM2,"Hf,oxM2",NoutM2,XM2,EAM2,EiM2
OsPt,140.6062,3.61782,0.604,185,76,190.23,5,-6.21,8,2.2,1.1,8.71,0.005,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
IrCr,143.1262,3.57569,0.044,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,3.314,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
IrMn,143.0681,3.55316,0.319,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,3.231,161,25,54.938,3,-5.49,7,1.55,0,7.434
IrFe,143.7758,3.55704,0.176,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,2,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
IrCo,144.7722,3.54717,0.115,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,0.762,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
IrNi,144.1329,3.55373,0.001,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,0,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
IrRu,140.7064,3.59305,0.012,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,1.239,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
IrRh,143.3813,3.57107,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
IrPd,142.3943,3.58598,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,0,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
IrOs,140.157,3.58931,0.088,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,1.011,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
IrIr,143.4565,3.58852,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
IrPt,142.5409,3.60003,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12,0,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
PtCr,141.7008,3.593,0.036,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,3.227,166,24,51.996,3,-6.26,6,1.66,0.666,6.767
PtMn,143.3007,3.58294,0.017,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,3.26,161,25,54.938,3,-5.49,7,1.55,0,7.434
PtFe,143.9112,3.58323,0.017,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,2.057,156,26,55.845,3,-6.45,8,1.83,0.163,7.903
PtCo,144.5858,3.57162,0.01,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0.614,152,27,58.933,3,-5.6,9,1.88,0.66,7.881
PtNi,144.4785,3.58951,0.005,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0.007,149,28,58.693,3,-4.75,10,1.91,1.16,7.64
PtRu,139.5744,3.60612,0.013,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0.869,178,44,101.07,4,-6.14,8,2.2,1.05,7.361
PtRh,142.5479,3.58919,0,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0,173,45,102.91,4,-4.84,9,2.28,1.137,7.459
PtPd,142.5813,3.61688,0.003,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0.002,169,46,106.42,4,-2.81,10,2.2,0.557,8.337
PtOs,140.6062,3.61782,0.005,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0.604,185,76,190.23,5,-6.21,8,2.2,1.1,8.71
PtIr,142.5409,3.60003,0,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0,180,77,192.22,5,-6.51,9,2.2,1.57,9.12
PtPt,142.4164,3.62664,0,177,78,195.08,5,-3.38,10,2.28,2.128,9.02,0,177,78,195.08,5,-3.38,10,2.28,2.128,9.02
